lrate,l2_reg,n_epochs,loss
0.18007736744212868,0.18007736744212868,1529,[0.14889258]
0.7081619548486993,0.7081619548486993,760,[0.15250218]
0.8006587245543142,0.8006587245543142,1766,[0.14702748]
0.8273835128654435,0.8273835128654435,1607,[0.14403015]
0.24128589766068104,0.24128589766068104,1955,[0.14666309]
0.6528952355779901,0.6528952355779901,10,[0.15605214]
0.5443677223968831,0.5443677223968831,1349,[0.15833266]
0.2696932266901943,0.2696932266901943,1454,[0.14808747]
0.6101947663071264,0.6101947663071264,57,[0.15541415]
0.22027939362894855,0.22027939362894855,603,[0.15084274]
0.5780962856655706,0.5780962856655706,799,[0.15447666]
0.5857686075805137,0.5857686075805137,1199,[0.15804299]
0.2914633743047259,0.2914633743047259,1812,[0.14625875]
0.2676025379158528,0.2676025379158528,1819,[0.1465158]
0.6944908017489176,0.6944908017489176,1790,[0.15262641]
0.17317174363951227,0.17317174363951227,1963,[0.14841851]
0.9067874427759222,0.9067874427759222,1556,[0.14195925]
0.4594052062133716,0.4594052062133716,1250,[0.15915084]
0.8176779277073678,0.8176779277073678,282,[0.14795091]
0.8879142030491344,0.8879142030491344,1823,[0.14169663]
0.4520091190539663,0.4520091190539663,525,[0.15813108]
0.1549403602653583,0.1549403602653583,313,[0.15153977]
0.21112863903569856,0.21112863903569856,120,[0.15027382]
0.5041810216093133,0.5041810216093133,1825,[0.15146834]
0.8401330620489876,0.8401330620489876,292,[0.14423672]
0.4034156034533294,0.4034156034533294,263,[0.15681937]
0.8666135638749479,0.8666135638749479,1256,[0.14649498]
0.6524773142307211,0.6524773142307211,757,[0.154773]
0.6566646114574116,0.6566646114574116,157,[0.15528754]
0.8652483679776256,0.8652483679776256,1876,[0.1424101]
0.5229597371455712,0.5229597371455712,1453,[0.15548882]
0.22877136274815407,0.22877136274815407,690,[0.15001718]
0.3608145691858558,0.3608145691858558,1306,[0.15577684]
0.949985258470907,0.949985258470907,1601,[0.14161794]
0.20565726409838156,0.20565726409838156,1850,[0.14654151]
0.8825505130364674,0.8825505130364674,1162,[0.14517104]
0.6330983226774831,0.6330983226774831,892,[0.15592369]
0.7797412604532362,0.7797412604532362,215,[0.14795091]
0.7744965044666258,0.7744965044666258,1798,[0.14691638]
0.8029772330725733,0.8029772330725733,1568,[0.14812178]
0.5839569584217922,0.5839569584217922,161,[0.15547135]
0.6555309945189023,0.6555309945189023,913,[0.15500739]
0.11241573658093326,0.11241573658093326,1870,[0.14208686]
0.4780558685573967,0.4780558685573967,747,[0.15517328]
0.4871178735774908,0.4871178735774908,1888,[0.15385718]
0.2011994874667454,0.2011994874667454,1499,[0.14889258]
0.07803483591227277,0.07803483591227277,1935,[0.14210936]
0.7964689123597077,0.7964689123597077,1428,[0.14846309]
0.3562362210456591,0.3562362210456591,24,[0.15539435]
0.7670115901353664,0.7670115901353664,1411,[0.14859389]
0.7494094546471202,0.7494094546471202,597,[0.15060958]
0.27420162177436674,0.27420162177436674,1695,[0.146524]
