lrate,l2_reg,n_epochs,loss
0.3968363916696547,0.3968363916696547,794,[0.15541764]
0.7718504378325439,0.7718504378325439,1855,[0.14639063]
0.27335828769828,0.27335828769828,1657,[0.14735305]
0.4172795772850919,0.4172795772850919,1487,[0.15844927]
0.04533420314454688,0.04533420314454688,724,[0.13702524]
0.9520917075640861,0.9520917075640861,996,[0.14167896]
0.9081985801760717,0.9081985801760717,1131,[0.14226958]
0.8211730210456275,0.8211730210456275,1205,[0.15072818]
0.5918719001223927,0.5918719001223927,1030,[0.15596577]
0.10671891526920135,0.10671891526920135,1230,[0.14503602]
0.3807387791506771,0.3807387791506771,616,[0.1544145]
0.7915060614351965,0.7915060614351965,112,[0.14774893]
0.7495253045593,0.7495253045593,1334,[0.15323946]
0.7845496524752337,0.7845496524752337,253,[0.14795091]
0.4146925598521502,0.4146925598521502,1826,[0.15626714]
0.013742191904814611,0.013742191904814611,1051,[0.13109166]
0.9598514581216169,0.9598514581216169,176,[0.14010288]
0.6638678650988259,0.6638678650988259,586,[0.15491501]
0.013091020014453784,0.013091020014453784,365,[0.1328323]
0.6074184958456805,0.6074184958456805,1368,[0.15799101]
0.35247698451826137,0.35247698451826137,978,[0.15536475]
0.8076265712735177,0.8076265712735177,500,[0.14870437]
0.09978333714811777,0.09978333714811777,1536,[0.14419518]
0.24114827490317944,0.24114827490317944,1863,[0.14666309]
0.6769798749863917,0.6769798749863917,1334,[0.15202556]
0.7548447029037322,0.7548447029037322,1392,[0.15323946]
0.010718060307913179,0.010718060307913179,742,[0.131861]
0.7994699820041063,0.7994699820041063,1806,[0.14702748]
0.20087328410082114,0.20087328410082114,353,[0.15107764]
0.39632499932815957,0.39632499932815957,346,[0.1576538]
0.09819576184317741,0.09819576184317741,612,[0.14556733]
0.5806000621568163,0.5806000621568163,356,[0.15637311]
0.1485108105291947,0.1485108105291947,1693,[0.1475228]
0.70152222819285,0.70152222819285,1609,[0.15372072]
0.47071853695092825,0.47071853695092825,1298,[0.15884462]
0.2823872205152418,0.2823872205152418,266,[0.14955795]
0.09918951402610238,0.09918951402610238,597,[0.14556733]
0.9581875181987888,0.9581875181987888,608,[0.14096197]
0.3474500047732371,0.3474500047732371,843,[0.15342715]
0.8538976818243407,0.8538976818243407,1566,[0.14437145]
0.7479323190397102,0.7479323190397102,1126,[0.15107979]
0.22510104859641894,0.22510104859641894,1965,[0.14694367]
0.2921424513217654,0.2921424513217654,1553,[0.14779204]
0.9524136437549813,0.9524136437549813,377,[0.14193505]
0.3458995053550616,0.3458995053550616,286,[0.15445332]
0.06160672332584427,0.06160672332584427,1807,[0.1381999]
0.3732782224787598,0.3732782224787598,878,[0.15428229]
0.22379441060107913,0.22379441060107913,339,[0.1514798]
0.4714617415592479,0.4714617415592479,1171,[0.1582507]
0.36247946881816284,0.36247946881816284,437,[0.15645166]
0.1695938920682605,0.1695938920682605,31,[0.1514878]
0.21685794227435096,0.21685794227435096,451,[0.15156587]
0.22468567618216145,0.22468567618216145,44,[0.15067598]
0.2789699218550742,0.2789699218550742,1519,[0.14779204]
0.7913119085013283,0.7913119085013283,686,[0.1481339]
0.6155217171986671,0.6155217171986671,1962,[0.1538913]
0.8083388786515395,0.8083388786515395,602,[0.14860802]
0.2128999332851771,0.2128999332851771,294,[0.15087796]
0.6288750112088107,0.6288750112088107,398,[0.1569539]
0.6224463106527046,0.6224463106527046,1250,[0.15907057]
0.4909773551971796,0.4909773551971796,179,[0.15672593]
0.32678560220774194,0.32678560220774194,1297,[0.15812885]
0.5533088018154662,0.5533088018154662,1498,[0.15635794]
0.38230308535129065,0.38230308535129065,1145,[0.1524618]
0.6824423512779406,0.6824423512779406,1252,[0.15233179]
0.3295491723549764,0.3295491723549764,896,[0.15760289]
0.7966518948913371,0.7966518948913371,1756,[0.14702748]
0.8726422613514934,0.8726422613514934,518,[0.14317284]
0.6301923135893602,0.6301923135893602,534,[0.15696872]
0.6090482881016336,0.6090482881016336,744,[0.15437052]
0.3259075904260018,0.3259075904260018,719,[0.15743464]
0.5610760118577819,0.5610760118577819,1802,[0.15459997]
0.39298389002699313,0.39298389002699313,336,[0.1576538]
0.33630724821887437,0.33630724821887437,807,[0.15719913]
0.07829071159750556,0.07829071159750556,1091,[0.14346523]
0.21299083125089927,0.21299083125089927,23,[0.15067598]
0.09356629576702455,0.09356629576702455,851,[0.14465628]
0.20724362485409256,0.20724362485409256,1866,[0.14654151]
0.9233961789673049,0.9233961789673049,728,[0.1410271]
0.15987482782600315,0.15987482782600315,1572,[0.14984067]
0.4594434794091714,0.4594434794091714,1316,[0.15858759]
0.832318196522201,0.832318196522201,1642,[0.14403015]
0.3053856411246163,0.3053856411246163,129,[0.14935597]
0.5291756209206858,0.5291756209206858,1278,[0.15759746]
0.15255994045760585,0.15255994045760585,1875,[0.14682135]
0.27550069343685246,0.27550069343685246,53,[0.14935597]
