lrate,l2_reg,n_epochs,loss
0.27412334020765305,0.27412334020765305,246,[0.14955795]
0.5594210445329708,0.5594210445329708,1544,[0.15635794]
0.4925734691689698,0.4925734691689698,1393,[0.15867212]
0.7827941160600365,0.7827941160600365,1821,[0.1471122]
0.12553118172900446,0.12553118172900446,1697,[0.1475228]
0.006499534525335708,0.006499534525335708,1251,[0.13122386]
0.5264891992728274,0.5264891992728274,1268,[0.15773059]
0.7086411517419791,0.7086411517419791,882,[0.15336439]
0.9403893735896813,0.9403893735896813,94,[0.14097961]
0.21249999870949526,0.21249999870949526,163,[0.15067598]
0.47073309215364284,0.47073309215364284,1924,[0.15447623]
0.5644278815909433,0.5644278815909433,1855,[0.15407422]
0.8298261854573444,0.8298261854573444,1977,[0.1424101]
0.7339331221836467,0.7339331221836467,196,[0.14963421]
0.12838089703724656,0.12838089703724656,1826,[0.14682135]
0.8420041851968877,0.8420041851968877,1130,[0.14507556]
0.6393629391113652,0.6393629391113652,1461,[0.15689884]
0.16198111395894937,0.16198111395894937,1166,[0.15126532]
0.15751800842156116,0.15751800842156116,360,[0.15214161]
0.4117170421797817,0.4117170421797817,1883,[0.15626714]
0.17030973229610008,0.17030973229610008,152,[0.1514878]
0.26362542867658,0.26362542867658,927,[0.14894289]
0.6165848028696898,0.6165848028696898,1826,[0.1538913]
0.38765746595199857,0.38765746595199857,42,[0.15529746]
0.35534865475449423,0.35534865475449423,985,[0.15536475]
0.2550800126021404,0.2550800126021404,1010,[0.14910716]
0.4008203480681271,0.4008203480681271,1748,[0.15396872]
0.4280034765674943,0.4280034765674943,91,[0.15922318]
0.05188876329659942,0.05188876329659942,739,[0.13702524]
0.23883248243404953,0.23883248243404953,1595,[0.14817478]
0.33701126799069675,0.33701126799069675,1102,[0.15607914]
0.471655811640815,0.471655811640815,43,[0.15678158]
0.6415242602791073,0.6415242602791073,1053,[0.15635462]
0.03610062377636367,0.03610062377636367,1779,[0.13111504]
0.09628874409705586,0.09628874409705586,480,[0.14629046]
0.5119900236979078,0.5119900236979078,98,[0.15462844]
0.3346467824238496,0.3346467824238496,1711,[0.15465837]
0.2722441941968813,0.2722441941968813,1046,[0.14732327]
0.9123707042074433,0.9123707042074433,323,[0.14118159]
0.33654668482339495,0.33654668482339495,1412,[0.15655666]
0.3508294736668677,0.3508294736668677,817,[0.15445225]
0.4190058391586937,0.4190058391586937,1095,[0.15793593]
0.1578490580171183,0.1578490580171183,1165,[0.15126532]
0.8957587216631595,0.8957587216631595,416,[0.14193505]
0.21304666178667978,0.21304666178667978,901,[0.15018543]
0.8625278801158801,0.8625278801158801,1569,[0.14379962]
0.4140164097618797,0.4140164097618797,301,[0.15942516]
0.7961765330910784,0.7961765330910784,920,[0.14873676]
0.6979601525816913,0.6979601525816913,1103,[0.15399434]
0.4198959850537943,0.4198959850537943,1433,[0.15844927]
0.49966313581789845,0.49966313581789845,757,[0.15130205]
0.22568849021690152,0.22568849021690152,395,[0.1514798]
0.9016532529540997,0.9016532529540997,1288,[0.14382399]
0.39864085117768155,0.39864085117768155,1374,[0.15718219]
0.5449735420838485,0.5449735420838485,608,[0.15593208]
0.604783550560139,0.604783550560139,917,[0.1552857]
0.8389430719105653,0.8389430719105653,463,[0.14499018]
0.882476165469522,0.882476165469522,30,[0.14231375]
0.04436614185237637,0.04436614185237637,419,[0.13553871]
0.0367495967052888,0.0367495967052888,1333,[0.13331703]
0.9472168332807726,0.9472168332807726,734,[0.1410271]
0.4368158774126162,0.4368158774126162,448,[0.16028048]
0.44931411693100626,0.44931411693100626,1424,[0.15848458]
0.9191315218265406,0.9191315218265406,698,[0.14119198]
0.16751977869419932,0.16751977869419932,1057,[0.14956574]
0.5440692701870223,0.5440692701870223,1850,[0.15407422]
0.8167915184492439,0.8167915184492439,1188,[0.15072818]
0.1986167273502278,0.1986167273502278,250,[0.1504758]
0.7599254636254706,0.7599254636254706,86,[0.15000734]
0.0830146074113733,0.0830146074113733,238,[0.14560255]
0.8286630237108036,0.8286630237108036,174,[0.14403474]
0.9349494332958111,0.9349494332958111,480,[0.14193505]
0.9044263407433478,0.9044263407433478,904,[0.14167896]
0.19118890961635984,0.19118890961635984,1391,[0.1499927]
0.9120227898193936,0.9120227898193936,1196,[0.14408606]
0.8247089505098382,0.8247089505098382,1241,[0.14672551]
0.5166612393721142,0.5166612393721142,981,[0.15449999]
0.15623376785082063,0.15623376785082063,898,[0.15099725]
0.39633539292395653,0.39633539292395653,1913,[0.15344298]
0.7917727383753651,0.7917727383753651,600,[0.14860802]
0.14256247920350448,0.14256247920350448,251,[0.1499426]
0.47817958998277893,0.47817958998277893,1696,[0.15464818]
0.4388284188360402,0.4388284188360402,92,[0.15922318]
0.5296379758036445,0.5296379758036445,1481,[0.15548882]
0.3123314250944892,0.3123314250944892,1413,[0.15015221]
0.11411904723193533,0.11411904723193533,1784,[0.14278832]
0.04837152481469534,0.04837152481469534,1649,[0.13618647]
0.8675139243290254,0.8675139243290254,233,[0.14383966]
0.05820332295575006,0.05820332295575006,1574,[0.1389206]
0.9123634728112692,0.9123634728112692,1273,[0.14382399]
0.832296868357803,0.832296868357803,94,[0.14403474]
0.9420160412139973,0.9420160412139973,1516,[0.14195925]
0.5839411800940391,0.5839411800940391,1604,[0.15540982]
0.3226043146734638,0.3226043146734638,377,[0.15905973]
0.73656641351812,0.73656641351812,1426,[0.15077433]
0.7444062149984073,0.7444062149984073,1280,[0.15286633]
0.8897452009961845,0.8897452009961845,328,[0.14118159]
0.5472858883610666,0.5472858883610666,1122,[0.15616457]
0.5003172289809293,0.5003172289809293,1153,[0.15387917]
0.3148593727405842,0.3148593727405842,895,[0.15111319]
