lrate,l2_reg,n_epochs,loss
0.33817147529191094,0.8965480746563865,126.0,0.13597965240478516
0.6779120796637524,0.6349781739393686,391.0,0.15728764235973358
0.5280324549959746,0.027065964151245736,732.0,0.15819142758846283
0.5503421535191969,0.2057164559035105,1284.0,0.16162239015102386
0.8771699989774312,0.8033315837659966,1168.0,0.15414327383041382
0.9359588846963113,0.2697981516892899,299.0,0.15037094056606293
0.6448732136390793,0.5839704825173373,814.0,0.1520688235759735
0.060712288903499,0.330805517230115,325.0,0.1328040510416031
0.040192555709521294,0.9508350926187947,423.0,0.12586398422718048
0.3326462598906408,0.8792814028992115,1842.0,0.12824004888534546
0.49308175646527885,0.11366543386658257,925.0,0.15593764185905457
0.4250789182061403,0.21598420470745117,602.0,0.1607990562915802
0.8755408288692919,0.16290356729807198,1271.0,0.17587049305438995
0.3425761882766698,0.6167895706919159,608.0,0.1722557544708252
0.04438340117437689,0.3181172789976425,1784.0,0.12153211236000061
0.4427646692499355,0.487495321657032,634.0,0.15810193121433258
0.19784456270845285,0.6602427579311456,468.0,0.14945156872272491
0.8277386992682995,0.5081237910975311,1013.0,0.1691749393939972
0.7899919428544949,0.04970303819463551,407.0,0.16123491525650024
0.87760190075486,0.05848277722347128,1935.0,0.1666143387556076
0.0018486865603162678,0.40658428026340243,1616.0,0.13279595971107483
0.12517025983497626,0.7844029873675099,19.0,0.13602717220783234
0.22676516764093765,0.9853610414807596,1693.0,0.12857048213481903
0.016095429066171174,0.34114352766138056,1491.0,0.11977074295282364
0.15614236879939786,0.3655340150160549,1500.0,0.15199971199035645
0.25460751617722255,0.3042706158027889,1984.0,0.147361159324646
0.09500661111651283,0.43908256611340846,1449.0,0.14557377994060516
0.007263455165475385,0.5231108525205819,1800.0,0.1305973082780838
0.2925534222027576,0.2646393997369151,1455.0,0.14251014590263367
0.13574542956797306,0.4273245111253258,1725.0,0.14451099932193756
0.19022129086397424,0.689192568162287,1611.0,0.14604079723358154
0.6722750393996015,0.16709251863324948,1286.0,0.17045778036117554
0.07641074659756733,0.36388019852749487,1164.0,0.14752818644046783
0.6065955021642203,0.09437948343803068,1876.0,0.18467977643013
0.7406205409800042,0.006214132785652526,1076.0,0.16888388991355896
0.39131999295853637,0.2435862111504515,1335.0,0.16240531206130981
0.27856824687745807,0.16824066135525068,1542.0,0.14937666058540344
0.02355951439706583,0.30146617362348527,1378.0,0.13454054296016693
0.5920614993421924,0.7549930771935454,908.0,0.13568115234375
0.5015479769134854,0.5607479798401359,1178.0,0.15091989934444427
0.3319634268962023,0.45672320456063586,1987.0,0.1493837982416153
0.9769543504195309,0.3492652065473721,1765.0,0.14516019821166992
0.05887262669475778,0.1190609167320675,1634.0,0.13867220282554626
0.17275349807346044,0.5621012519238535,1886.0,0.1502620279788971
0.3812943071428923,0.21665973103266317,166.0,0.1493586003780365
0.10150307177020196,0.8706284300344344,869.0,0.14087606966495514
0.45368956694842166,0.4012340495260743,730.0,0.17041859030723572
