lrate,l2_reg,n_epochs,loss
0.688539354237241,0.688539354237241,1938,[0.1482029]
0.16544201677348214,0.16544201677348214,399,[0.14166895]
0.6824305723867632,0.6824305723867632,1833,[0.14602824]
0.4320804825536538,0.4320804825536538,171,[0.15919764]
0.08756470470063842,0.08756470470063842,184,[0.16196418]
0.1216904450261879,0.1216904450261879,482,[0.14438277]
0.1654778163505338,0.1654778163505338,1133,[0.1442351]
0.4265989213859678,0.4265989213859678,1157,[0.1602543]
0.24017501944406078,0.24017501944406078,371,[0.16249916]
0.3802888619732067,0.3802888619732067,1865,[0.15103659]
0.17310115623511088,0.17310115623511088,214,[0.16497588]
0.9141357257201951,0.9141357257201951,126,[0.1303376]
0.9439414335015776,0.9439414335015776,67,[0.14355716]
0.38102761225537063,0.38102761225537063,514,[0.15074246]
0.5678617710570947,0.5678617710570947,1376,[0.159115]
0.41899318003286296,0.41899318003286296,1276,[0.15320386]
0.21566058336490698,0.21566058336490698,920,[0.16101664]
0.007464294348754851,0.007464294348754851,1816,[0.12644063]
0.45115439487595377,0.45115439487595377,1487,[0.14779185]
0.8708060135488912,0.8708060135488912,1688,[0.17383106]
0.31224278963976027,0.31224278963976027,834,[0.2552945]
0.391688511542536,0.391688511542536,812,[0.1563715]
0.6528772614703,0.6528772614703,370,[0.17020723]
0.3824837290756098,0.3824837290756098,250,[0.14874631]
0.7553326109102335,0.7553326109102335,1107,[0.15317006]
0.3853718925736189,0.3853718925736189,164,[0.13165213]
0.4615182761213005,0.4615182761213005,43,[0.16211224]
0.7618961105445409,0.7618961105445409,768,[0.14854537]
0.8759357180995311,0.8759357180995311,139,[0.13038765]
0.11517431862432895,0.11517431862432895,949,[0.1568237]
0.10940533395464497,0.10940533395464497,188,[0.13910943]
0.010180853334476415,0.010180853334476415,788,[0.133969]
0.7461524728696627,0.7461524728696627,857,[0.15930155]
0.6465221191126971,0.6465221191126971,986,[0.16130206]
0.9283973079863808,0.9283973079863808,1450,[0.12428306]
0.18976279469455012,0.18976279469455012,484,[0.13899201]
0.26377192577018405,0.26377192577018405,1062,[0.17411849]
0.4185047823598342,0.4185047823598342,1765,[0.14441255]
0.0530295474179679,0.0530295474179679,1211,[0.13035266]
0.2012769386240961,0.2012769386240961,1742,[0.1426297]
0.12016245396397923,0.12016245396397923,1156,[0.1289895]
0.7406963152327442,0.7406963152327442,1390,[0.14714208]
0.22613988198179907,0.22613988198179907,1673,[0.14503853]
0.26220026441952576,0.26220026441952576,700,[0.15130232]
0.932384738104812,0.932384738104812,848,[0.13332437]
0.35135810750262575,0.35135810750262575,1830,[0.15040097]
0.881985252954807,0.881985252954807,1908,[0.1289911]
0.14191987688414634,0.14191987688414634,497,[0.14820693]
0.9632801320093692,0.9632801320093692,894,[0.15027982]
0.9719950943820804,0.9719950943820804,1490,[0.12210379]
0.28787022859940803,0.28787022859940803,1892,[0.15109117]
0.3915179467844757,0.3915179467844757,1633,[0.15570256]
0.09186712060535869,0.09186712060535869,90,[0.14863203]
0.7779965321031242,0.7779965321031242,712,[0.15473996]
0.17901440402605173,0.17901440402605173,1428,[0.14477699]
0.12789876463279495,0.12789876463279495,1106,[0.16093041]
0.1988727825647512,0.1988727825647512,1136,[0.13886718]
0.41630636062103,0.41630636062103,539,[0.15338913]
0.0528729274032197,0.0528729274032197,1863,[0.1336057]
0.7477482196387927,0.7477482196387927,1279,[0.1611059]
0.7602011674835081,0.7602011674835081,1338,[0.1552725]
0.6573771165550518,0.6573771165550518,638,[0.13496281]
0.3518924719317908,0.3518924719317908,1963,[0.14540651]
0.9767455358701791,0.9767455358701791,954,[0.12148876]
0.51868942484802,0.51868942484802,309,[0.1483382]
0.20195104633431876,0.20195104633431876,1337,[0.14699765]
0.8930781191291671,0.8930781191291671,653,[0.13319416]
0.7278484511128913,0.7278484511128913,92,[0.16446379]
0.6386770897061111,0.6386770897061111,199,[0.16554162]
0.0779982687558018,0.0779982687558018,865,[0.15159416]
0.0497788841322406,0.0497788841322406,179,[0.14263272]
0.3485572460343951,0.3485572460343951,1940,[0.14837368]
0.3605213556801004,0.3605213556801004,1012,[0.14839979]
0.34516949149973575,0.34516949149973575,1594,[0.15711723]
0.5534754817720561,0.5534754817720561,38,[0.15720999]
0.7454597362206976,0.7454597362206976,1105,[0.16439606]
0.5419060668519434,0.5419060668519434,1604,[0.15997118]
0.21834534091999094,0.21834534091999094,519,[0.15749145]
0.5444759515239711,0.5444759515239711,1916,[0.17284338]
0.016644498751559864,0.016644498751559864,1442,[0.13372613]
0.5438423619354804,0.5438423619354804,510,[0.16655922]
0.9621428137077677,0.9621428137077677,1648,[0.15462263]
0.6706637613994718,0.6706637613994718,1750,[0.14347753]
0.9666171753228331,0.9666171753228331,306,[0.1347808]
0.9007077086232892,0.9007077086232892,2,[0.13502096]
0.7938698760706899,0.7938698760706899,312,[0.14685541]
0.8143118766745897,0.8143118766745897,70,[0.15994835]
0.30268537901330383,0.30268537901330383,1429,[0.15347004]
0.7090338596258912,0.7090338596258912,1279,[0.15800938]
0.7821155366458837,0.7821155366458837,270,[0.1642005]
0.027426876439003125,0.027426876439003125,249,[0.13501474]
0.4489626625472015,0.4489626625472015,1319,[0.16124764]
0.3802527225711329,0.3802527225711329,211,[0.1573758]
0.4871904853888644,0.4871904853888644,136,[0.1354049]
0.3972137542037935,0.3972137542037935,890,[0.16081087]
0.7876604764352055,0.7876604764352055,747,[0.14399791]
0.9479068923549085,0.9479068923549085,1850,[0.13803923]
0.7450926569077964,0.7450926569077964,516,[0.16624255]
0.7966268470793599,0.7966268470793599,1433,[0.14537112]
0.5367704665766185,0.5367704665766185,1996,[0.1538963]
